epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,24901,0.59436,0.34139,0.97554,0.95467,0.95766,0.97841,0.85204,0.61493,0.3214,0.98915,0.001882,0.001882,0.001882
84,25108.1,0.59451,0.3368,0.97511,0.95663,0.95694,0.97834,0.85246,0.6143,0.32128,0.98901,0.001783,0.001783,0.001783
85,25316.1,0.59282,0.33928,0.97064,0.95314,0.96022,0.97812,0.85196,0.61507,0.32128,0.98972,0.001684,0.001684,0.001684
86,25523.4,0.5914,0.33752,0.97293,0.95422,0.95836,0.978,0.85325,0.61492,0.32083,0.9899,0.001585,0.001585,0.001585
87,25729,0.58846,0.33487,0.97364,0.95768,0.95571,0.97803,0.85293,0.61493,0.32098,0.9899,0.001486,0.001486,0.001486
88,25936,0.58565,0.3301,0.97201,0.96001,0.95437,0.97827,0.85248,0.61455,0.32088,0.98997,0.001387,0.001387,0.001387
89,26141,0.5785,0.33175,0.96582,0.95909,0.95532,0.97853,0.85298,0.61459,0.32058,0.99025,0.001288,0.001288,0.001288
90,26345.9,0.58221,0.33074,0.9689,0.95927,0.95494,0.97813,0.85305,0.61454,0.32004,0.99044,0.001189,0.001189,0.001189
91,26586.7,0.54826,0.30869,0.92759,0.95938,0.95561,0.97826,0.85315,0.61446,0.32017,0.99024,0.00109,0.00109,0.00109
92,26791.2,0.53896,0.30169,0.92229,0.95914,0.9557,0.97805,0.85345,0.61498,0.31985,0.99076,0.000991,0.000991,0.000991
93,26994.9,0.53409,0.29892,0.92133,0.96055,0.95569,0.97838,0.85255,0.61518,0.31993,0.99093,0.000892,0.000892,0.000892
94,27200.5,0.5323,0.29577,0.91774,0.95904,0.95665,0.97805,0.85249,0.61622,0.31988,0.99157,0.000793,0.000793,0.000793
95,27403.1,0.52844,0.29158,0.91809,0.95885,0.95711,0.9781,0.85318,0.61651,0.31953,0.99183,0.000694,0.000694,0.000694
96,27607,0.52553,0.29099,0.91662,0.95998,0.95684,0.97819,0.85337,0.6169,0.31923,0.99219,0.000595,0.000595,0.000595
97,27809.6,0.52196,0.28933,0.91591,0.9583,0.95779,0.97815,0.85322,0.61682,0.31929,0.99222,0.000496,0.000496,0.000496
98,28013.5,0.51565,0.28702,0.9152,0.95807,0.95754,0.97801,0.85276,0.6171,0.31927,0.99282,0.000397,0.000397,0.000397
99,28216.2,0.51377,0.28596,0.91531,0.95784,0.9576,0.97804,0.85307,0.61714,0.31927,0.99317,0.000298,0.000298,0.000298
100,28417.5,0.51308,0.2819,0.91108,0.95775,0.95752,0.97798,0.85243,0.61688,0.31903,0.99328,0.000199,0.000199,0.000199
